 ERC20 most sent token type,0,1
,7,0
 ,0,1191
$7RIP$,1,0
'',0,1
0,4399,0
0xBitcoin Token,1,0
0xcert Protocol Token,1,0
1World,1,0
300 Token,1,0
AION,3,1
ARBITRAGE,0,1
AVT,2,0
AdBank,1,0
AdEx,5,3
Aditus,1,0
Adshares,1,0
Aeron,1,0
Aeternity,18,0
Aigang,1,0
AirSwap,1,0
AirToken,1,0
AnyCoinVer10,2,0
AppCoins,1,0
Aragon,19,0
ArcBlock,3,0
Arcona Distribution Contract,1,0
Authorship,1,0
BAI,1,0
BANCA,1,0
BANKEX,1,0
BAT,37,1
BCDN,1,0
BCG.to,1,0
BCShareS,1,0
BIX Token,1,0
BMChain Token,1,0
BNB,5,0
BOMB,1,0
BUZCOIN,0,1
Bancor,31,0
Banker Token,1,0
BinaryCoin,0,1
BitDice,0,1
BizCoin,0,2
Blackmoon Crypto Token,1,1
BlockchainPoland,1,0
Blocktix,1,0
Bounty0x,0,1
Brickblock,0,1
Bytom,7,0
CCRB,1,0
CRYPTOPUNKS,3,0
Cai Token,1,0
CarTaxi,0,1
Cashaa,0,1
Celsius,2,0
Centra,1,0
ChainLink Token,1,0
ChangeBank,1,0
CharterCoin,1,0
Cindicator,1,0
Civic,17,1
Cobinhood,1,0
Cofoundit,10,1
CoinBene Coin,2,0
CoinBoin,1,0
CoinDash,3,1
Countinghouse Fund,1,0
Covalent Token,1,0
Covesting,1,0
Crypterium,0,1
Crypto.com,20,0
Crypto20,1,0
CryptoLah,1,0
Cryptonex,1,0
CultureVirtue,1,0
DADI,0,1
DAPSTOKEN,1,0
DATAcoin,5,2
DCORP,3,0
DGD,6,0
DICE,7,0
DNA,1,0
DRC Token,1,0
DRP Utility,1,0
Dai Stablecoin v1.0,3,0
Dao.Casino,6,2
Decent.Bet Token,1,0
Decentraland,7,0
Decentralized Application Coin,1,0
Delta,1,0
Dentacoin,1,0
Digix Gold Token,1,0
Divi Exchange Token,1,0
Dochain,1,0
Dragon,2,0
E4ROW,1,0
ELF,1,0
EOS,135,3
ERC20,0,3
ETHWrapper,1,0
Edgeless,5,0
EduCoin,1,0
Electronic Energy Coin,0,1
Enigma,1,0
EnjinCoin,9,0
Ethbits,1,0
Ether,5,0
Ether Token,2,0
Ethos,5,1
Everex,1,0
FOAM Token,1,0
Fair Token,0,1
Fantom Token,0,1
Feed,0,1
FinShi Capital Tokens,1,0
Flyp.me,1,0
Fortecoin,0,1
Friendz Coin,1,0
FunFair,3,2
GRID,2,0
Genaro X,2,0
Gnosis,7,0
Golem,126,4
Guaranteed Entrance Token,1,0
Guppy,4,0
HOQU Token,1,0
HackerGold,1,0
Happy Coin,1,0
Hawala,0,1
HeroCoin,1,0
Herocoin,1,0
Hiveterminal Token,1,0
Humaniq,8,1
HuobiToken,3,0
Hydro,0,1
I HOUSE TOKEN,2,0
IBCCoin,1,0
ICO,1,0
ICON,5,1
ICONOMI,19,0
IDEX Membership,1,0
IDICE,0,1
IOSToken,1,0
IOT Chain,1,0
IUNGO,0,1
Identity Hub Token,1,0
Individual Content &amp; Skill Token,3,0
KEY,1,0
KickCoin,2,0
Kin,6,0
KyberNetwork,5,0
LEADCOIN,1,0
Litecoin One,0,1
Livepeer Token,6,3
LocalCoinSwap dividend token 2019Q1,1,0
Loom,1,0
Loopring,2,0
LuckCash,1,0
Lucky Token,0,1
Lunyr,2,0
MCAP,0,2
MEX,1,0
MKR,2,0
